panel,system_key,system,ce,e2e_avg_ms,cost_req_usd,metric,metric_key,value,best_baseline,best_baseline_value,normalized,higher_is_better
ce_ranking,faaslora,PrimeLoRA,118.843777,3265.4022,0.00257684,,,,,,,
ce_ranking,sglang,SGLang,114.4668,2427.36,0.003599,,,,,,,
ce_ranking,vllm,vLLM,78.0421,3151.02,0.0040665,,,,,,,
ce_ranking,slora,S-LoRA,63.5556,3790.54,0.0041509,,,,,,,
ce_ranking,serverlessllm,ServerlessLLM,1.5532,239156.82,0.0026921,,,,,,,
latency_cost_matrix,faaslora,PrimeLoRA,,,,"TTFT
avg",ttft_avg_ms,657.1698,SGLang,274.48,2.3942356455843776,False
latency_cost_matrix,sglang,SGLang,,,,"TTFT
avg",ttft_avg_ms,274.48,SGLang,274.48,1.0,False
latency_cost_matrix,vllm,vLLM,,,,"TTFT
avg",ttft_avg_ms,500.68,SGLang,274.48,1.8241037598367822,False
latency_cost_matrix,slora,S-LoRA,,,,"TTFT
avg",ttft_avg_ms,325.5,SGLang,274.48,1.1858787525502767,False
latency_cost_matrix,serverlessllm,ServerlessLLM,,,,"TTFT
avg",ttft_avg_ms,236575.7,SGLang,274.48,861.905056834742,False
latency_cost_matrix,faaslora,PrimeLoRA,,,,"TTFT
p95",ttft_p95_ms,1661.2877,SGLang,359.53,4.620720663087921,False
latency_cost_matrix,sglang,SGLang,,,,"TTFT
p95",ttft_p95_ms,359.53,SGLang,359.53,1.0,False
latency_cost_matrix,vllm,vLLM,,,,"TTFT
p95",ttft_p95_ms,1173.41,SGLang,359.53,3.26373320724279,False
latency_cost_matrix,slora,S-LoRA,,,,"TTFT
p95",ttft_p95_ms,438.05,SGLang,359.53,1.2183962395349486,False
latency_cost_matrix,serverlessllm,ServerlessLLM,,,,"TTFT
p95",ttft_p95_ms,469915.99,SGLang,359.53,1307.0285928851556,False
latency_cost_matrix,faaslora,PrimeLoRA,,,,"E2E
avg",e2e_avg_ms,3265.4022,SGLang,2427.36,1.3452484180344078,False
latency_cost_matrix,sglang,SGLang,,,,"E2E
avg",e2e_avg_ms,2427.36,SGLang,2427.36,1.0,False
latency_cost_matrix,vllm,vLLM,,,,"E2E
avg",e2e_avg_ms,3151.02,SGLang,2427.36,1.2981263595016808,False
latency_cost_matrix,slora,S-LoRA,,,,"E2E
avg",e2e_avg_ms,3790.54,SGLang,2427.36,1.5615895458440445,False
latency_cost_matrix,serverlessllm,ServerlessLLM,,,,"E2E
avg",e2e_avg_ms,239156.82,SGLang,2427.36,98.52548447696262,False
latency_cost_matrix,faaslora,PrimeLoRA,,,,"E2E
p95",e2e_p95_ms,7305.3105,SGLang,5654.69,1.2919029159865527,False
latency_cost_matrix,sglang,SGLang,,,,"E2E
p95",e2e_p95_ms,5654.69,SGLang,5654.69,1.0,False
latency_cost_matrix,vllm,vLLM,,,,"E2E
p95",e2e_p95_ms,7206.33,SGLang,5654.69,1.2743987734075608,False
latency_cost_matrix,slora,S-LoRA,,,,"E2E
p95",e2e_p95_ms,8834.01,SGLang,5654.69,1.5622447914916646,False
latency_cost_matrix,serverlessllm,ServerlessLLM,,,,"E2E
p95",e2e_p95_ms,472944.34,SGLang,5654.69,83.63753627519812,False
latency_cost_matrix,faaslora,PrimeLoRA,,,,"TPOT
avg",tpot_avg_ms,29.8132,SGLang,20.0,1.4906599999999999,False
latency_cost_matrix,sglang,SGLang,,,,"TPOT
avg",tpot_avg_ms,20.0,SGLang,20.0,1.0,False
latency_cost_matrix,vllm,vLLM,,,,"TPOT
avg",tpot_avg_ms,26.05,SGLang,20.0,1.3025,False
latency_cost_matrix,slora,S-LoRA,,,,"TPOT
avg",tpot_avg_ms,29.93,SGLang,20.0,1.4965,False
latency_cost_matrix,serverlessllm,ServerlessLLM,,,,"TPOT
avg",tpot_avg_ms,25.14,SGLang,20.0,1.2570000000000001,False
latency_cost_matrix,faaslora,PrimeLoRA,,,,"TPOT
p95",tpot_p95_ms,43.907284415571674,SGLang,23.1417129979524,1.8973221394395752,False
latency_cost_matrix,sglang,SGLang,,,,"TPOT
p95",tpot_p95_ms,23.1417129979524,SGLang,23.1417129979524,1.0,False
latency_cost_matrix,vllm,vLLM,,,,"TPOT
p95",tpot_p95_ms,29.000164103536093,SGLang,23.1417129979524,1.253155464597718,False
latency_cost_matrix,slora,S-LoRA,,,,"TPOT
p95",tpot_p95_ms,39.637771737619,SGLang,23.1417129979524,1.7128279026330586,False
latency_cost_matrix,serverlessllm,ServerlessLLM,,,,"TPOT
p95",tpot_p95_ms,26.831219868782238,SGLang,23.1417129979524,1.1594310184019778,False
latency_cost_matrix,faaslora,PrimeLoRA,,,,"Cost/
req",cost_req_usd,0.00257684,ServerlessLLM,0.0026921,0.9571858400505182,False
latency_cost_matrix,sglang,SGLang,,,,"Cost/
req",cost_req_usd,0.003599,ServerlessLLM,0.0026921,1.3368745588945434,False
latency_cost_matrix,vllm,vLLM,,,,"Cost/
req",cost_req_usd,0.0040665,ServerlessLLM,0.0026921,1.5105308123769547,False
latency_cost_matrix,slora,S-LoRA,,,,"Cost/
req",cost_req_usd,0.0041509,ServerlessLLM,0.0026921,1.5418818023104641,False
latency_cost_matrix,serverlessllm,ServerlessLLM,,,,"Cost/
req",cost_req_usd,0.0026921,ServerlessLLM,0.0026921,1.0,False
